questionText,type,optionA,optionB,optionC,optionD,correctAnswer
"Trên X-quang thẳng đầu gối, dấu hiệu Joint Space Narrowing thường liên quan đến bệnh lý nào?",MultipleChoice,Viêm khớp dạng thấp (Rheumatoid Arthritis),Thoái hóa khớp (Osteoarthritis),Gút (Gout),Viêm khớp nhiễm trùng (Septic Arthritis),B
"Đặc điểm X-quang nào giúp phân biệt gãy xương lành tính (Greenstick) với gãy xương thông thường ở trẻ em?",MultipleChoice,"Có nhiều mảnh gãy","Chỉ một bên vỏ xương gãy, bên kia cong gãy",Xương bị di lệch hoàn toàn,Có tổn thương mô mềm kèm theo,B
"Góc di lệch bao nhiêu độ được coi là chấp nhận được ở người lớn khi gãy xương cánh tay?",MultipleChoice,5-10 độ,15-20 độ,25-30 độ,Dưới 5 độ,B
"Dấu hiệu Codman Triangle trên X-quang thường gợi ý bệnh lý ác tính nào của xương?",MultipleChoice,Ung thư xương nguyên phát (Osteosarcoma),U xương lành tính (Osteoid Osteoma),Di căn xương (Bone Metastasis),Bệnh Paget của xương,A
"Đặc điểm X-quang nào là dấu hiệu đặc trưng của bệnh Perthes ở trẻ em?",MultipleChoice,Đầu xương đùi bị dẹt và teo,Khe khớp rộng bất thường,Có dị vật trong khớp,Xương bị calcification tăng,A
"Tổn thương Egg-shell Appearance trên X-quang là đặc trưng của loại u xương nào?",MultipleChoice,Osteosarcoma,Giant Cell Tumor,Aneurysmal Bone Cyst,Enchondroma,C
"Trên X-quang cột sống cổ, góc Pavlov ratio nhỏ hơn bao nhiêu được coi là bất thường?",MultipleChoice,0.5,0.7,0.8,1.0,C
"Dấu hiệu Snowstorm Appearance trên X-quang thường gặp trong bệnh lý nào?",MultipleChoice,Bệnh Huntington,Bệnh Paget của xương,Bệnh cò xương (Rickets),Loãng xương (Osteoporosis),B
"Đặc điểm nào trên X-quang giúp phân biệt gãy xương mới với gãy xương cũ đã liền?",MultipleChoice,Đường gãy sắc nét,Có Calhoun callus,Xương bị lệch trục,Mất vỏ xương tại chỗ gãy,B
"Thương tổn lamelar (Layered) hay Onion Skin trên CT scan thường gợi ý loại u nào?",MultipleChoice,Osteosarcoma,Ewing Sarcoma,Chondrosarcoma,Metastatic Disease,B
